num,time,ua,ub,uc,ia,ib,ic,P,S,PF,F,Pa,Pb,Pc,Sa,Sb,Sc,PFa,PFb,PFc,v
40386,2019-7-21 06:18:57.535,237.09,237.66,234.98,1.224,1.74,1.56,530,1068,0.496,49.97,155,225,150,290,413,365,0.538,0.545,0.41,300
40387,2019-7-21 06:18:57.916,237.09,237.66,234.98,1.224,1.74,1.56,530,1068,0.496,49.97,155,225,150,290,413,365,0.538,0.545,0.41,300
40388,2019-7-21 06:18:58.262,237.09,237.68,234.98,1.224,1.74,1.56,530,1069,0.496,49.97,155,225,150,289,414,366,0.54,0.545,0.409,300
40389,2019-7-21 06:18:58.631,237.13,237.66,234.96,1.224,1.74,1.554,530,1069,0.496,49.97,157,224,149,290,414,365,0.541,0.544,0.408,300
40390,2019-7-21 06:18:59.021,237.22,237.73,235.04,1.224,1.746,1.56,532,1070,0.496,49.96,157,225,150,290,414,366,0.54,0.544,0.41,300
40391,2019-7-21 06:18:59.362,237.22,237.73,235.04,1.224,1.746,1.56,532,1070,0.496,49.96,157,225,150,290,414,366,0.54,0.544,0.41,300
40392,2019-7-21 06:18:59.803,237.13,237.68,234.93,1.224,1.746,1.554,529,1067,0.498,49.96,157,225,147,289,414,364,0.542,0.544,0.406,300
40393,2019-7-21 06:19:00.124,237.18,237.77,235.04,1.224,1.746,1.56,531,1071,0.494,49.96,157,225,149,290,415,366,0.54,0.544,0.406,300
40394,2019-7-21 06:19:00.566,237.18,237.79,235.04,1.218,1.752,1.554,529,1071,0.496,49.96,157,225,147,289,417,365,0.542,0.543,0.404,300
40395,2019-7-21 06:19:00.943,237.18,237.79,235.04,1.218,1.752,1.554,529,1071,0.496,49.96,157,225,147,289,417,365,0.542,0.543,0.404,300
40396,2019-7-21 06:19:01.310,237.2,237.84,235.04,1.218,1.758,1.56,529,1073,0.494,49.96,155,227,147,290,417,366,0.54,0.543,0.404,300
40397,2019-7-21 06:19:01.668,237.24,237.84,235.09,1.224,1.746,1.554,529,1070,0.496,49.96,157,225,147,290,415,365,0.541,0.543,0.405,300
40398,2019-7-21 06:19:02.095,237.22,237.79,235.09,1.224,1.746,1.56,528,1069,0.492,49.96,155,224,149,290,414,365,0.539,0.543,0.409,300
40399,2019-7-21 06:19:02.522,237.27,237.75,235.07,1.23,1.74,1.56,531,1071,0.494,49.95,157,224,150,291,414,366,0.539,0.542,0.409,300
40400,2019-7-21 06:19:02.877,237.27,237.75,235.07,1.23,1.74,1.56,531,1071,0.494,49.95,157,224,150,291,414,366,0.539,0.542,0.409,300
40401,2019-7-21 06:19:03.200,237.24,237.73,235.07,1.23,1.734,1.554,528,1067,0.492,49.95,155,223,150,291,411,365,0.537,0.542,0.41,300
40402,2019-7-21 06:19:03.535,237.29,237.79,235.13,1.23,1.74,1.56,531,1070,0.496,49.95,157,224,150,291,413,366,0.538,0.542,0.409,300
40403,2019-7-21 06:19:03.860,237.29,237.79,235.13,1.23,1.74,1.56,531,1070,0.496,49.95,157,224,150,291,413,366,0.538,0.542,0.409,300
40404,2019-7-21 06:19:04.253,237.24,237.86,235.11,1.224,1.746,1.56,527,1071,0.49,49.95,155,225,147,290,415,366,0.539,0.543,0.405,300
40405,2019-7-21 06:19:04.636,237.27,237.86,235.13,1.224,1.746,1.56,531,1071,0.494,49.95,157,225,149,290,415,366,0.54,0.544,0.405,300
40406,2019-7-21 06:19:05.044,237.33,237.93,235.2,1.224,1.752,1.56,527,1073,0.49,49.95,155,225,147,290,417,366,0.539,0.542,0.405,300
40407,2019-7-21 06:19:05.406,237.33,237.93,235.2,1.224,1.752,1.56,527,1073,0.49,49.95,155,225,147,290,417,366,0.539,0.542,0.405,300
40408,2019-7-21 06:19:05.795,237.4,237.97,235.24,1.224,1.752,1.566,531,1076,0.492,49.96,157,225,149,291,417,368,0.538,0.543,0.406,300
40409,2019-7-21 06:19:06.190,237.44,237.99,235.29,1.23,1.746,1.56,531,1071,0.494,49.96,157,225,149,291,414,366,0.537,0.543,0.408,300
40410,2019-7-21 06:19:06.533,237.38,237.97,235.22,1.23,1.752,1.56,531,1072,0.494,49.96,157,225,149,291,415,366,0.539,0.544,0.406,300
40411,2019-7-21 06:19:06.886,237.38,237.97,235.22,1.23,1.752,1.56,531,1072,0.494,49.96,157,225,149,291,415,366,0.539,0.544,0.406,300
