num,time,ua,ub,uc,ia,ib,ic,P,S,PF,F,Pa,Pb,Pc,Sa,Sb,Sc,PFa,PFb,PFc,v
40443,2019-7-21 06:19:17.663,237.24,237.86,235.11,1.224,1.752,1.56,531,1073,0.494,49.96,157,227,147,290,417,366,0.542,0.544,0.405,300
40444,2019-7-21 06:19:17.888,237.24,237.86,235.11,1.224,1.752,1.56,531,1073,0.494,49.96,157,227,147,290,417,366,0.542,0.544,0.405,300
40445,2019-7-21 06:19:18.110,237.24,237.79,235.15,1.224,1.746,1.566,531,1073,0.494,49.97,155,225,151,291,414,368,0.537,0.545,0.411,300
40446,2019-7-21 06:19:18.330,237.24,237.79,235.15,1.224,1.746,1.566,531,1073,0.494,49.97,155,225,151,291,414,368,0.537,0.545,0.411,300
40447,2019-7-21 06:19:18.571,237.22,237.73,235.11,1.23,1.74,1.56,532,1070,0.496,49.97,157,224,151,291,413,366,0.539,0.545,0.413,300
40448,2019-7-21 06:19:18.766,237.22,237.73,235.11,1.23,1.74,1.56,532,1070,0.496,49.97,157,224,151,291,413,366,0.539,0.545,0.413,300
40449,2019-7-21 06:19:18.994,237.22,237.73,235.11,1.23,1.74,1.56,532,1070,0.496,49.97,157,224,151,291,413,366,0.539,0.545,0.413,300
40450,2019-7-21 06:19:19.208,237.2,237.77,235.07,1.224,1.752,1.566,534,1073,0.498,49.97,157,227,150,290,415,368,0.54,0.546,0.408,300
40451,2019-7-21 06:19:19.433,237.2,237.77,235.07,1.224,1.752,1.566,534,1073,0.498,49.97,157,227,150,290,415,368,0.54,0.546,0.408,300
40452,2019-7-21 06:19:19.655,237.22,237.79,235.07,1.224,1.752,1.56,533,1071,0.494,49.97,157,227,149,290,415,366,0.543,0.545,0.408,300
40453,2019-7-21 06:19:19.871,237.22,237.79,235.07,1.224,1.752,1.56,533,1071,0.494,49.97,157,227,149,290,415,366,0.543,0.545,0.408,300
40454,2019-7-21 06:19:20.097,237.24,237.79,235.07,1.224,1.752,1.56,533,1071,0.494,49.97,157,227,149,290,415,366,0.541,0.546,0.408,300
40455,2019-7-21 06:19:20.314,237.24,237.79,235.07,1.224,1.752,1.56,533,1071,0.494,49.97,157,227,149,290,415,366,0.541,0.546,0.408,300
40456,2019-7-21 06:19:20.571,237.29,237.79,235.09,1.224,1.746,1.56,533,1072,0.494,49.97,157,227,149,291,415,366,0.541,0.545,0.409,300
40457,2019-7-21 06:19:20.758,237.29,237.79,235.09,1.224,1.746,1.56,533,1072,0.494,49.97,157,227,149,291,415,366,0.541,0.545,0.409,300
40458,2019-7-21 06:19:20.978,237.29,237.79,235.09,1.224,1.746,1.56,533,1072,0.494,49.97,157,227,149,291,415,366,0.541,0.545,0.409,300
40459,2019-7-21 06:19:21.191,237.29,237.79,235.09,1.23,1.74,1.56,532,1071,0.494,49.97,157,225,150,291,414,366,0.541,0.546,0.41,300
40460,2019-7-21 06:19:21.422,237.29,237.79,235.09,1.23,1.74,1.56,532,1071,0.494,49.97,157,225,150,291,414,366,0.541,0.546,0.41,300
40461,2019-7-21 06:19:21.640,237.29,237.84,235.11,1.224,1.746,1.554,533,1070,0.496,49.97,157,227,149,290,415,365,0.543,0.545,0.408,300
40462,2019-7-21 06:19:21.851,237.29,237.84,235.11,1.224,1.746,1.554,533,1070,0.496,49.97,157,227,149,290,415,365,0.543,0.545,0.408,300
40463,2019-7-21 06:19:22.148,237.24,237.79,235.07,1.224,1.752,1.56,533,1071,0.494,49.97,157,227,149,290,415,366,0.542,0.545,0.409,300
40464,2019-7-21 06:19:22.419,237.24,237.79,235.07,1.224,1.752,1.56,533,1071,0.494,49.97,157,227,149,290,415,366,0.542,0.545,0.409,300
40465,2019-7-21 06:19:22.633,237.22,237.79,235.02,1.224,1.746,1.56,531,1070,0.496,49.98,157,225,149,290,415,365,0.543,0.545,0.407,300
40466,2019-7-21 06:19:22.850,237.22,237.79,235.02,1.224,1.746,1.56,531,1070,0.496,49.98,157,225,149,290,415,365,0.543,0.545,0.407,300
40467,2019-7-21 06:19:23.093,237.18,237.79,235.04,1.218,1.752,1.566,533,1074,0.494,49.98,157,227,149,289,417,368,0.543,0.546,0.408,300
40468,2019-7-21 06:19:23.304,237.18,237.79,235.04,1.218,1.752,1.566,533,1074,0.494,49.98,157,227,149,289,417,368,0.543,0.546,0.408,300
40469,2019-7-21 06:19:23.577,237.22,237.82,235.07,1.224,1.752,1.56,533,1071,0.494,49.98,157,227,149,290,415,366,0.543,0.546,0.408,300
40470,2019-7-21 06:19:23.745,237.22,237.82,235.07,1.224,1.752,1.56,533,1071,0.494,49.98,157,227,149,290,415,366,0.543,0.546,0.408,300
40471,2019-7-21 06:19:23.959,237.22,237.82,235.07,1.224,1.752,1.56,533,1071,0.494,49.98,157,227,149,290,415,366,0.543,0.546,0.408,300
40472,2019-7-21 06:19:24.174,237.27,237.86,235.13,1.224,1.752,1.566,533,1073,0.494,49.98,157,227,149,290,417,366,0.54,0.546,0.408,300
40473,2019-7-21 06:19:24.399,237.27,237.86,235.13,1.224,1.752,1.566,533,1073,0.494,49.98,157,227,149,290,417,366,0.54,0.546,0.408,300
40474,2019-7-21 06:19:24.620,237.24,237.86,235.09,1.224,1.746,1.56,533,1070,0.496,49.98,157,227,149,290,415,365,0.543,0.545,0.407,300
40475,2019-7-21 06:19:24.838,237.24,237.86,235.09,1.224,1.746,1.56,533,1070,0.496,49.98,157,227,149,290,415,365,0.543,0.545,0.407,300
